epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,383.777,0.10096,2.80046,0.04274,0.10917,0.91535,0.84963,1,0.97557,0.91627,0.81097,0.96296,0.92937,0.47288,0.3849,6.47956,0.02296,0.82469,0.93699,0.0012245,0.0012245,0.0012245
49,391.384,0.10072,2.71472,0.03833,0.1097,0.91699,0.80522,0.96296,0.93632,0.91474,0.7425,0.88889,0.81919,0.48564,0.37777,5.00863,0.02049,0.85827,0.91799,0.001208,0.001208,0.001208
50,398.977,0.10386,2.68321,0.04016,0.10905,0.9214,0.78082,0.96296,0.93081,0.87337,0.65237,0.88889,0.73883,0.31125,0.41641,7.43015,0.02377,0.85326,0.96439,0.0011915,0.0011915,0.0011915
51,406.598,0.10113,2.53807,0.03706,0.10571,0.91567,0.81177,1,0.95436,0.89353,0.81177,1,0.95436,0.62796,0.44043,3.29867,0.01881,0.8892,0.97253,0.001175,0.001175,0.001175
52,414.208,0.09104,2.46334,0.03636,0.10204,0.90899,0.89906,0.9899,0.95348,0.87169,0.86551,0.95367,0.9112,0.59143,0.47648,3.90636,0.0191,0.69231,1.01048,0.0011585,0.0011585,0.0011585
53,421.809,0.09597,2.40045,0.03158,0.10182,0.90906,0.88923,1,0.95178,0.82083,0.77598,0.88889,0.80205,0.43538,0.53218,5.56308,0.01659,0.6653,1.063,0.001142,0.001142,0.001142
54,429.414,0.09504,2.25285,0.03229,0.09861,0.90878,0.9,0.99996,0.95612,0.84696,0.81621,0.96296,0.91862,0.53208,0.56049,4.78785,0.01464,0.88818,1.11879,0.0011255,0.0011255,0.0011255
55,437.025,0.09881,2.3486,0.03049,0.09745,0.91195,0.8608,0.9164,0.94174,0.83452,0.826,0.87936,0.90119,0.5139,0.56425,5.24919,0.01813,0.79393,1.1141,0.001109,0.001109,0.001109
56,444.59,0.09642,2.4555,0.02882,0.10047,0.9121,0.85343,0.88889,0.90786,0.82335,0.81787,0.85185,0.86298,0.50542,0.51741,5.60586,0.02055,0.72126,1.07481,0.0010925,0.0010925,0.0010925
57,452.257,0.10361,2.37607,0.02661,0.10293,0.91216,0.84337,0.99718,0.91538,0.79928,0.78087,0.92393,0.80169,0.41261,0.56165,6.49339,0.01962,0.82558,1.11731,0.001076,0.001076,0.001076
58,459.899,0.0962,2.25794,0.02743,0.09751,0.90679,0.92558,0.92593,0.97543,0.82342,0.81333,0.81481,0.84664,0.5462,0.55858,6.01297,0.01921,0.68555,1.10861,0.0010595,0.0010595,0.0010595
59,467.47,0.08832,2.13221,0.03171,0.09534,0.90372,0.74172,0.9574,0.91939,0.77254,0.74172,0.9574,0.91939,0.58175,0.5566,3.61842,0.01736,0.77968,1.11539,0.001043,0.001043,0.001043
60,475.061,0.07866,2.15175,0.02281,0.08485,0.89526,0.812,0.88889,0.92704,0.80976,0.7712,0.85185,0.81823,0.50284,0.52345,5.47154,0.0197,0.70254,1.09665,0.0010265,0.0010265,0.0010265
61,482.574,0.08288,2.28037,0.02629,0.09322,0.89806,0.81081,0.79399,0.91097,0.82519,0.81081,0.79399,0.91097,0.70203,0.49251,2.87837,0.01822,0.82587,1.06988,0.00101,0.00101,0.00101
62,490.109,0.09056,2.04737,0.02753,0.10075,0.89806,0.72918,0.85185,0.8653,0.75636,0.72918,0.85185,0.8653,0.45862,0.49623,5.45611,0.01688,1.2043,1.08017,0.0009935,0.0009935,0.0009935
63,497.763,0.08753,2.0428,0.02338,0.09056,0.89762,0.70577,0.88844,0.83819,0.72997,0.67645,0.85179,0.77873,0.50484,0.53191,4.21428,0.01604,1.26969,1.10914,0.000977,0.000977,0.000977
64,505.65,0.08978,1.90903,0.02571,0.09411,0.90063,0.81018,0.85185,0.88441,0.76137,0.69919,0.77778,0.75697,0.47961,0.50449,5.37532,0.01817,0.99831,1.08393,0.0009605,0.0009605,0.0009605
65,513.421,0.0772,1.82472,0.0236,0.08413,0.89149,0.69479,0.85185,0.827,0.66517,0.66618,0.81481,0.79645,0.58815,0.55645,3.67799,0.01566,1.28816,1.13944,0.000944,0.000944,0.000944
66,520.965,0.08941,1.8485,0.02527,0.09019,0.89955,0.80965,0.85185,0.90643,0.74558,0.6279,0.87522,0.76038,0.55473,0.56287,4.37809,0.01641,1.08074,1.14778,0.0009275,0.0009275,0.0009275
67,528.59,0.07766,1.81078,0.02483,0.08507,0.8944,0.86645,0.96123,0.95281,0.82482,0.86645,0.96123,0.95281,0.59798,0.55584,4.10176,0.01623,0.70191,1.1274,0.000911,0.000911,0.000911
68,536.174,0.0762,1.76334,0.02011,0.08261,0.89289,0.80807,0.96296,0.94357,0.80764,0.80807,0.96296,0.94357,0.73085,0.57419,2.76963,0.01327,0.75455,1.13516,0.0008945,0.0008945,0.0008945
69,543.854,0.0757,1.60923,0.02317,0.08298,0.8942,0.83331,0.92593,0.95267,0.80601,0.83331,0.92593,0.95267,0.59673,0.57594,4.46202,0.01373,0.73769,1.13885,0.000878,0.000878,0.000878
70,551.489,0.07857,1.56882,0.02003,0.07957,0.89103,0.87368,0.88889,0.95885,0.81398,0.87368,0.88889,0.95885,0.70101,0.5472,3.50449,0.01452,0.65744,1.10387,0.0008615,0.0008615,0.0008615
71,559.05,0.07351,1.5117,0.01828,0.08101,0.88586,0.89277,0.92508,0.96104,0.82752,0.89277,0.92508,0.94495,0.72399,0.57695,3.44013,0.01399,0.66054,1.13897,0.000845,0.000845,0.000845
72,566.615,0.08013,1.48004,0.01934,0.08679,0.88793,0.82295,0.96296,0.96113,0.8296,0.82295,0.96296,0.96113,0.75147,0.51,3.12784,0.01421,0.5657,1.07174,0.0008285,0.0008285,0.0008285
73,574.34,0.07496,1.44897,0.01847,0.08388,0.88346,0.90917,0.92593,0.96822,0.84564,0.90917,0.92593,0.96822,0.76907,0.51134,2.74096,0.01264,0.56666,1.09592,0.000812,0.000812,0.000812
74,582.136,0.07288,1.41102,0.01845,0.08354,0.88632,0.86346,0.88889,0.95808,0.83618,0.86346,0.88889,0.95808,0.72278,0.51619,2.99963,0.01176,0.56994,1.08033,0.0007955,0.0007955,0.0007955
75,589.885,0.07337,1.40407,0.01751,0.07932,0.88877,0.92547,0.92,0.96777,0.83228,0.92547,0.92,0.96777,0.74187,0.53505,2.85766,0.01088,0.63066,1.10002,0.000779,0.000779,0.000779
76,597.578,0.07072,1.43926,0.0165,0.07306,0.88669,0.81794,0.99841,0.96414,0.83222,0.81794,0.99841,0.96414,0.74453,0.5519,2.62641,0.01156,0.61145,1.10891,0.0007625,0.0007625,0.0007625
77,605.382,0.06481,1.35341,0.01705,0.06907,0.88181,0.85446,0.92593,0.96031,0.8273,0.85446,0.92593,0.96031,0.76834,0.52514,2.62038,0.0128,0.66127,1.0847,0.000746,0.000746,0.000746
78,613.024,0.05775,1.35428,0.01737,0.06371,0.87914,0.80835,0.96296,0.9571,0.78018,0.80835,0.96296,0.9571,0.72694,0.59508,3.10833,0.01188,0.82905,1.1546,0.0007295,0.0007295,0.0007295
79,620.641,0.0547,1.36018,0.0147,0.06186,0.87941,0.81713,0.99316,0.95948,0.80659,0.81713,0.99316,0.95948,0.76433,0.59954,2.88415,0.01147,0.79188,1.15477,0.000713,0.000713,0.000713
80,628.298,0.05651,1.37304,0.01744,0.06005,0.87891,0.78667,0.96296,0.93461,0.75771,0.78667,0.96296,0.93461,0.71063,0.62857,3.10809,0.00988,1.03509,1.19461,0.0006965,0.0006965,0.0006965
81,636.036,0.05549,1.31937,0.01559,0.06113,0.87829,0.81719,0.96296,0.93795,0.78368,0.81719,0.96296,0.93795,0.72084,0.59975,2.92497,0.00928,0.8453,1.16525,0.00068,0.00068,0.00068
82,643.96,0.0546,1.30521,0.01321,0.06047,0.87852,0.83144,0.91371,0.91728,0.76232,0.83144,0.91371,0.91728,0.73763,0.60488,2.69787,0.0096,0.92062,1.1706,0.0006635,0.0006635,0.0006635
83,651.99,0.05696,1.36466,0.01662,0.06651,0.88089,0.88139,0.88889,0.95021,0.79058,0.88139,0.88889,0.94283,0.70131,0.59494,3.72707,0.00966,0.78149,1.1668,0.000647,0.000647,0.000647
84,659.929,0.05893,1.23658,0.01316,0.06319,0.88094,0.83562,0.96296,0.943,0.78748,0.83562,0.96296,0.943,0.75367,0.60665,2.683,0.00843,0.75704,1.17912,0.0006305,0.0006305,0.0006305
85,667.774,0.05483,1.2105,0.01311,0.06303,0.87873,0.96127,0.9195,0.96591,0.79505,0.96127,0.9195,0.96591,0.74377,0.6748,3.16504,0.01078,0.70111,1.28474,0.000614,0.000614,0.000614
86,675.362,0.05454,1.1558,0.01397,0.06029,0.87861,0.92836,0.96003,0.96527,0.79386,0.92836,0.96003,0.96527,0.73023,0.63342,3.08205,0.00915,0.6883,1.21536,0.0005975,0.0005975,0.0005975
87,682.911,0.05335,1.13139,0.01244,0.05996,0.87619,0.89209,0.91881,0.95947,0.79877,0.89209,0.91881,0.95947,0.76674,0.60228,2.76638,0.0086,0.72762,1.1768,0.000581,0.000581,0.000581
88,690.385,0.05145,1.11118,0.0148,0.05804,0.87519,0.92502,0.91414,0.96256,0.8122,0.8877,0.87857,0.93899,0.65997,0.58177,3.82665,0.01013,0.65645,1.15196,0.0005645,0.0005645,0.0005645
89,697.953,0.05555,1.11814,0.01296,0.05858,0.8788,0.86619,0.95913,0.95936,0.82464,0.86619,0.95913,0.95936,0.72965,0.54702,3.05996,0.00851,0.6803,1.11776,0.000548,0.000548,0.000548
90,705.454,0.04795,1.07844,0.01241,0.05486,0.87218,0.91965,0.88889,0.9558,0.83027,0.91965,0.88889,0.9558,0.74093,0.51681,2.68004,0.00765,0.68402,1.09396,0.0005315,0.0005315,0.0005315
91,713.009,0.04839,1.04876,0.01285,0.05527,0.87367,0.92544,0.96296,0.96525,0.8465,0.92544,0.96296,0.96525,0.72637,0.52332,2.92055,0.00761,0.65104,1.09455,0.000515,0.000515,0.000515
92,720.524,0.04326,1.06981,0.01139,0.05265,0.8725,0.89936,0.99316,0.9646,0.84438,0.89936,0.99316,0.9646,0.70321,0.52844,3.2144,0.00765,0.66313,1.09896,0.0004985,0.0004985,0.0004985
93,728.118,0.0418,1.00537,0.01109,0.05041,0.87239,0.89257,0.92329,0.96688,0.8328,0.89257,0.92329,0.96688,0.67451,0.54032,3.34904,0.00707,0.6494,1.1053,0.000482,0.000482,0.000482
94,735.611,0.0396,1.0043,0.01158,0.04994,0.8704,0.89631,0.96054,0.97358,0.84204,0.89631,0.96054,0.97358,0.72612,0.52217,2.97813,0.0076,0.59205,1.09017,0.0004655,0.0004655,0.0004655
95,743.042,0.0418,0.99177,0.01294,0.05029,0.87012,0.92273,0.88473,0.96288,0.84506,0.92273,0.88473,0.96288,0.74822,0.51546,2.76117,0.00871,0.59578,1.09594,0.000449,0.000449,0.000449
96,750.593,0.03594,0.9802,0.01066,0.04622,0.86997,0.89594,0.95679,0.97084,0.86169,0.89594,0.95679,0.97084,0.7139,0.51492,3.12013,0.00873,0.57371,1.08716,0.0004325,0.0004325,0.0004325
97,758.375,0.03858,0.93284,0.01106,0.04942,0.86807,0.95973,0.88293,0.97362,0.84992,0.95973,0.88293,0.97362,0.71837,0.48687,2.84784,0.00821,0.5804,1.06414,0.000416,0.000416,0.000416
98,766.114,0.03901,0.9273,0.01089,0.04774,0.86956,0.88704,0.92593,0.97224,0.868,0.88704,0.92593,0.97224,0.70649,0.47582,2.77829,0.00762,0.54745,1.04193,0.0003995,0.0003995,0.0003995
99,773.809,0.0363,0.88262,0.01033,0.04521,0.86996,0.89517,0.94907,0.9795,0.86114,0.89517,0.94907,0.9795,0.70584,0.47356,3.01883,0.00799,0.52356,1.04053,0.000383,0.000383,0.000383
100,781.428,0.03649,0.8517,0.01108,0.04596,0.86797,0.90063,0.92593,0.97783,0.85832,0.90063,0.92593,0.97783,0.71955,0.49282,2.63669,0.00695,0.55659,1.06408,0.0003665,0.0003665,0.0003665
101,789.106,0.0369,0.85886,0.00926,0.04588,0.86816,0.91047,0.92593,0.97471,0.85076,0.91047,0.92593,0.97471,0.75823,0.51298,2.46218,0.00748,0.59219,1.0925,0.00035,0.00035,0.00035
102,796.707,0.03549,0.82528,0.00962,0.04604,0.86725,0.90149,0.92593,0.9748,0.85928,0.90149,0.92593,0.9748,0.77281,0.52201,2.64814,0.00717,0.61417,1.09963,0.0003335,0.0003335,0.0003335
103,804.519,0.03523,0.81178,0.00913,0.04446,0.86879,0.89531,0.95051,0.97631,0.85712,0.89531,0.95051,0.97631,0.77292,0.5289,2.46175,0.00646,0.60302,1.10792,0.000317,0.000317,0.000317
104,812.113,0.03374,0.784,0.0096,0.04242,0.86855,0.88474,0.96296,0.97687,0.83968,0.88474,0.96296,0.97687,0.76951,0.5298,2.63837,0.00657,0.59911,1.11599,0.0003005,0.0003005,0.0003005
105,819.75,0.0356,0.76897,0.00992,0.04279,0.86845,0.92573,0.92339,0.97803,0.83413,0.92573,0.92339,0.97803,0.78465,0.54327,2.51675,0.00717,0.63467,1.13049,0.000284,0.000284,0.000284
106,827.514,0.03438,0.74855,0.00985,0.04212,0.86611,0.96093,0.91126,0.97776,0.83385,0.96093,0.91126,0.97776,0.76691,0.54187,2.5525,0.00688,0.63649,1.12577,0.0002675,0.0002675,0.0002675
107,835.593,0.03311,0.81117,0.00905,0.04094,0.86739,0.91568,0.92593,0.97432,0.83157,0.91568,0.92593,0.97432,0.74822,0.53835,2.65986,0.00675,0.64026,1.12107,0.000251,0.000251,0.000251
108,843.727,0.03374,0.71672,0.00934,0.04251,0.86771,0.89102,0.92593,0.96312,0.81435,0.89102,0.92593,0.96312,0.76458,0.54755,2.47522,0.00661,0.67279,1.13325,0.0002345,0.0002345,0.0002345
109,851.852,0.03377,0.69087,0.00955,0.04053,0.86729,0.84633,0.92593,0.96155,0.81738,0.84633,0.92593,0.96155,0.75712,0.54879,2.56235,0.00734,0.65938,1.13749,0.000218,0.000218,0.000218
110,859.841,0.03253,0.69911,0.00974,0.04079,0.86447,0.91481,0.96296,0.9712,0.8415,0.91481,0.96296,0.9712,0.76651,0.53915,2.65959,0.00636,0.65331,1.13196,0.0002015,0.0002015,0.0002015
111,867.678,0.03081,0.70915,0.00882,0.03928,0.86565,0.89645,0.96192,0.96674,0.84111,0.89645,0.96192,0.96674,0.76204,0.5282,2.44589,0.00623,0.65899,1.11496,0.000185,0.000185,0.000185
112,875.367,0.03071,0.67522,0.00907,0.03857,0.86541,0.92751,0.94815,0.9771,0.85249,0.92751,0.94815,0.9771,0.76708,0.53002,2.49304,0.00632,0.65729,1.11527,0.0001685,0.0001685,0.0001685
113,882.919,0.02854,0.66114,0.00882,0.03737,0.86294,0.9267,0.96296,0.97279,0.85004,0.9267,0.96296,0.97279,0.75123,0.52659,2.5616,0.00616,0.63636,1.11453,0.000152,0.000152,0.000152
114,890.562,0.02842,0.66637,0.00907,0.03778,0.86301,0.92497,0.96296,0.97097,0.84848,0.92497,0.96296,0.97097,0.75209,0.51531,2.51978,0.00606,0.63028,1.09824,0.0001355,0.0001355,0.0001355
115,898.397,0.02778,0.62245,0.00926,0.03716,0.86554,0.92718,0.94352,0.97269,0.86475,0.92718,0.94352,0.97269,0.75578,0.51416,2.54995,0.00599,0.6275,1.09233,0.000119,0.000119,0.000119
116,906.211,0.02622,0.69177,0.00885,0.03627,0.86556,0.87546,0.96296,0.97702,0.8679,0.87546,0.96296,0.97702,0.7558,0.50803,2.57686,0.00599,0.62974,1.08441,0.0001025,0.0001025,0.0001025
117,914.051,0.02605,0.62467,0.0087,0.0356,0.86556,0.9272,0.94371,0.97981,0.85897,0.9272,0.94371,0.97981,0.75301,0.51217,2.62922,0.00604,0.63034,1.09182,8.6e-05,8.6e-05,8.6e-05
118,921.86,0.02711,0.64798,0.00848,0.03624,0.86492,0.9266,0.93535,0.97823,0.86654,0.9266,0.93535,0.97823,0.76675,0.51268,2.63175,0.00609,0.62658,1.09321,6.95e-05,6.95e-05,6.95e-05
119,929.483,0.02481,0.64997,0.0084,0.03396,0.86533,0.89452,0.94264,0.97384,0.84534,0.89452,0.94264,0.97384,0.76742,0.51719,2.52877,0.00609,0.63168,1.09966,5.3e-05,5.3e-05,5.3e-05
