filename,sample_id,view_id,magnification,radius_um,xylem_um,phloem_um,bark_um,backend,similar_ref,sim_vs_manual
26-1 2X.jpg,26,1,2,1988.6104783599096,1443.5766231146604,269.2365887304415,90.14806378132126,yolo,,0.8373
26-2 4X.jpg,26,2,4,2138.3495145631064,1070.890966500076,307.9925286455546,72.57281553398053,yolo,,0.7347
26-3 4X.jpg,26,3,4,1826.0869565217392,1268.4733728521019,263.2295256986229,80.61594202898534,yolo,,0.6361
27-1 2X.jpg,27,1,2,1396.355353075171,1029.4259461963297,229.7324277240725,73.41565797025801,yolo,,0.6932
27-2 4X.jpg,27,2,4,1548.3091787439614,1058.823043073616,282.4209182790409,70.59178743961367,yolo,,0.8257
27-3 4X.jpg,27,3,4,1596.0144927536237,1061.1708385288478,258.3055805925946,120.13710744860583,yolo,,0.6264
28-1 2X.jpg,28,1,2,2753.986332574031,1971.2744825774994,378.8394126389021,123.69020501138985,yolo,,0.7994
28-2 4X.jpg,28,2,4,3215.5797101449275,1756.6892753112884,436.4568599544122,115.42874396135274,yolo,,0.5287
28-3  4X.jpg,28,3,4,2891.908212560386,1413.943500183971,443.6048089947729,97.76570048309179,yolo,,0.6451
29-1 2X.jpg,29,1,2,2240.318906605922,1405.7035596871262,379.6039573971551,93.96355353075181,yolo,,0.8764
29-2 4X.jpg,29,2,4,2432.9710144927535,1610.9454777423264,349.29002950405027,103.17028985507272,yolo,,0.7699
29-3   4X.jpg,29,3,4,2319.4444444444443,1477.0191402893756,337.1229064551056,142.98355712025375,yolo,,0.8434
30-1 2X.jpg,30,1,2,1486.3325740318908,840.3650704097266,265.4435856267196,58.20045558086556,yolo,,0.9443
30-2 4X.jpg,30,2,4,1589.9758454106275,906.8181619893135,299.6129974309766,63.49637681159421,yolo,,0.8180
30-3 4X.jpg,30,3,4,1574.8792270531399,798.9567691768661,275.14892413543555,129.39672214663562,yolo,,0.8879
31-1 2X.jpg,31,1,2,3202.7334851936207,2261.6183674425297,361.68439420013675,268.49678277646905,yolo,,0.7967
31-2 4X.jpg,31,2,4,3286.231884057971,2263.9019546535105,371.5973268381133,183.34129821852093,yolo,,0.9144
31-3 4X.jpg,31,3,4,3311.594202898551,2274.8669064908986,360.9526891465583,219.25286813065938,yolo,,0.8683
32-1 2X.jpg,32,1,2,2473.804100227791,1661.8796841582744,332.6902899307846,107.93572067176116,yolo,,0.8691
32-2  4X.jpg,32,2,4,2621.3768115942034,1874.9507683952363,324.5057533438943,115.76086956521716,yolo,,0.9012
32-3 4X.jpg,32,3,4,2611.0436893203887,1737.7688954896528,336.58233315523273,113.75556747161944,yolo,,0.7835
33-1 2X.jpg,33,1,2,1369.020501138952,815.5649042033986,234.58457030621716,60.32888539926797,yolo,,0.9591
33-2 4X.jpg,33,2,4,1457.1256038647346,831.8454384240905,251.0532714897661,150.1930775257574,yolo,,0.8752
33-3 4X.jpg,33,3,4,1478.2608695652175,737.1549559417089,239.80760444476456,51.41908212560398,yolo,,0.8730
34-1 2X.jpg,34,1,2,2117.3120728929384,1459.0920159374298,255.3155620773392,146.64025797611907,yolo,,0.7038
34-2 4X.jpg,34,2,4,2257.2463768115945,1507.050683877574,286.2464175717013,94.38405797101451,yolo,,0.7552
34-3 4X.jpg,34,3,4,3060.990338164251,2100.998507938812,433.4821683896906,133.3937198067631,yolo,,0.5392
35-1 2X.jpg,35,1,2,1965.8314350797268,1252.4876614817085,257.9906984271752,79.49886104783603,yolo,,0.8968
35-2 4X.jpg,35,2,4,2118.9613526570047,1289.2687268745335,264.669166676463,168.88819340552513,yolo,,0.8121
35-3  4X.jpg,35,3,4,2084.344660194175,1374.43614269219,255.20584759907302,85.77063106796072,yolo,,0.6062
36-1 2X.jpg,36,1,2,1510.2505694760825,871.4575742931667,225.52304882889658,170.67313542007795,yolo,,0.8666
36-2 4X.jpg,36,2,4,1617.1497584541066,1009.8280008437257,220.69736147511537,64.76449275362303,yolo,,0.8082
36-3 4X.jpg,36,3,4,1567.6328502415458,817.2881048545279,239.98846519378105,55.64613526570082,yolo,,0.8323
37-1 2X.jpg,37,1,2,2529.612756264236,1677.302295336677,373.0963379207256,107.91571753986375,yolo,,0.7944
37-2 4X.jpg,37,2,4,2636.4734299516904,1742.0145740188605,374.55712613556665,118.93554622238469,yolo,,0.5196
