                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     16,                 1.0482,                 1.6977,                0.99543,                 1.3639,                0.79132,                0.83186,                0.85891,                0.61313,                0.77641,                0.82785,                0.85002,                0.47004,                0.96999,                  1.425,                0.89043,                 1.3432,             0.00042925,             0.00042925,             0.00042925
                     17,                 1.0335,                 1.6782,                0.98216,                 1.3572,                0.78679,                0.84895,                0.86097,                0.58267,                0.76347,                0.82227,                0.82807,                 0.4529,                0.99803,                 1.4266,                0.87773,                 1.3455,             0.00034674,             0.00034674,             0.00034674
                     18,                 1.0258,                 1.6946,                0.98427,                 1.3428,                0.79413,                0.81818,                0.86131,                0.58309,                0.78485,                0.80125,                0.83443,                0.42917,                0.99723,                 1.5232,                0.86612,                 1.3523,             0.00026422,             0.00026422,             0.00026422
                     19,                 1.0177,                 1.6419,                 0.9601,                 1.3295,                0.80116,                0.83961,                 0.8711,                0.58995,                0.80031,                0.82572,                0.86124,                0.45764,                0.97123,                 1.3946,                0.86393,                 1.3341,              0.0001817,              0.0001817,              0.0001817
                     20,                 1.0139,                 1.6435,                0.95892,                 1.3416,                0.75864,                0.87942,                0.86573,                  0.579,                0.73213,                0.84707,                0.83002,                0.44783,                 1.0202,                 1.4354,                 0.8707,                  1.351,             9.9187e-05,             9.9187e-05,             9.9187e-05
                      1,                 1.2064,                 1.9363,                 1.0616,                 1.4652,                0.77722,                0.80808,                0.85393,                0.52927,                0.74679,                0.80492,                0.81832,                0.40729,                 1.1235,                 1.4506,                0.95368,                 1.4342,             0.00054773,             0.00054773,             0.00054773
                      2,                 1.2539,                 2.0021,                 1.0847,                 1.5064,                 0.7822,                0.80354,                0.84618,                0.56046,                0.78205,                0.80016,                0.84681,                0.38416,                 1.2026,                 1.4557,                  0.954,                 1.4877,              0.0010488,              0.0010488,              0.0010488
                      3,                 1.2789,                 1.9583,                 1.0796,                 1.5328,                0.77774,                0.80496,                0.83407,                 0.5454,                0.76486,                0.79892,                0.82722,                0.40398,                 1.0866,                 1.4543,                0.91428,                 1.4196,              0.0014948,              0.0014948,              0.0014948
                      4,                 1.2135,                 1.8488,                 1.0272,                 1.4678,                0.82511,                0.75211,                0.83489,                0.55845,                0.82511,                0.75211,                 0.8345,                0.41541,                 1.1049,                 1.4956,                0.94586,                 1.4365,              0.0014195,              0.0014195,              0.0014195
                      5,                 1.2047,                 1.8661,                 1.0466,                 1.4514,                0.76556,                0.83978,                0.83416,                0.57583,                0.75865,                0.83225,                0.82611,                0.43207,                 1.0494,                 1.3844,                0.93415,                 1.3879,              0.0013369,              0.0013369,              0.0013369
